Time (sec),Rate μcal/sec
1282,-0.01646169967366357
1283,-0.01582919259253987
1284,-0.015196685511416173
1285,-0.014754649553570476
1286,-0.014488433094135254
1287,-0.014222216634700033
1288,-0.013956000175264813
1289,-0.013689783715829592
1290,-0.013423567256394372
1291,-0.013130501625604914
1292,-0.012797162237784118
1293,-0.012463822849963323
1294,-0.012130483462142527
1295,-0.011797144074321734
1296,-0.011463804686500935
1297,-0.011068122663671092
1298,-0.010551422584647283
1299,-0.010034722505623478
1300,-0.009518022426599672
1301,-0.009001322347575865
1302,-0.00848462226855206
1303,-0.007806200071641687
1304,-0.006711921000166273
1305,-0.005617641928690859
1306,-0.004523362857215445
1307,-0.003429083785740031
1308,-0.0023348047142646173
1309,-0.0014027364802095567
1310,-0.0013222751426108367
1311,-0.0012418138050121167
1312,-0.0011613524674133969
1313,-0.0010808911298146769
1314,-0.0010004297922159568
1315,-0.0009741488514795616
1316,-0.0014354914825045813
1317,-0.001896834113529601
1318,-0.0023581767445546207
1319,-0.0028195193755796407
1320,-0.0032808620066046607
1321,-0.00374220463762968
1322,-0.003652173489426069
1323,-0.0035508898151157616
1324,-0.003449606140805454
1325,-0.0033483224664951467
1326,-0.0032470387921848393
1327,-0.003145755117874532
1328,-0.0031823202381703625
1329,-0.003230872210171063
1330,-0.0032794241821717633
1331,-0.0033279761541724637
1332,-0.003376528126173164
1333,-0.0034250800981738645
1334,-0.0033702773818171344
1335,-0.0032896359933710386
1336,-0.0032089946049249428
1337,-0.003128353216478848
1338,-0.003047711828032752
1339,-0.002967070439586656
1340,-0.0029438647056834813
1341,-0.0029408390666197095
1342,-0.0029378134275559378
1343,-0.002934787788492166
1344,-0.002931762149428394
1345,-0.002928736510364622
1346,-0.0028981098377944643
1347,-0.002850566402752642
1348,-0.0028030229677108204
1349,-0.002755479532668998
1350,-0.002707936097627176
1351,-0.002660392662585354
1352,-0.0026241515661493374
1353,-0.0025967908786178845
1354,-0.0025694301910864307
1355,-0.0025420695035549778
1356,-0.002514708816023524
1357,-0.002487348128492071
1358,-0.002430675225709674
1359,-0.002336695867153357
1360,-0.0022427165085970404
1361,-0.0021487371500407233
1362,-0.002054757791484406
1363,-0.0019607784329280895
1364,-0.0019013974442572078
1365,-0.0018984664275046423
1366,-0.0018955354107520765
1367,-0.001892604393999511
1368,-0.0018896733772469452
1369,-0.0018867423604943794
1370,-0.0018829618966187175
1371,-0.0018773763576064749
1372,-0.0018717908185942322
1373,-0.0018662052795819896
1374,-0.001860619740569747
1375,-0.0018550342015575042
1376,-0.0018395990265926917
1377,-0.001784765307817611
1378,-0.0017299315890425303
1379,-0.0016750978702674499
1380,-0.0016202641514923692
1381,-0.0015654304327172885
1382,-0.0015125394546235105
1383,-0.001471582455000606
1384,-0.0014306254553777015
1385,-0.001389668455754797
1386,-0.0013487114561318923
1387,-0.001307754456508988
1388,-0.0012670583580809043
1389,-0.001239146418199055
1390,-0.001211234478317206
1391,-0.0011833225384353567
1392,-0.0011554105985535077
1393,-0.0011274986586716584
1394,-0.0010995867187898094
1395,-0.0011061364614366879
1396,-0.001114122107522262
1397,-0.001122107753607836
1398,-0.0011300933996934103
1399,-0.0011380790457789843
1400,-0.0011460646918645585
1401,-0.0011108476250669252
1402,-0.001067401470101057
1403,-0.0010239553151351888
1404,-0.0009805091601693204
1405,-0.0009370630052034523
1406,-0.0008936168502375841
1407,-0.0008351276205942446
1408,-0.0007723954724521305
1409,-0.0007096633243100165
1410,-0.0006469311761679024
1411,-0.0005841990280257884
1412,-0.0005214668798836744
1413,-0.0004837583937849826
1414,-0.0004589408851025945
1415,-0.0004341233764202064
1416,-0.00040930586773781834
1417,-0.0003844883590554302
1418,-0.00035967085037304214
1419,-0.0003284138065958756
1420,-0.0002928637394221925
1421,-0.0002573136722485094
1422,-0.0002217636050748263
1423,-0.0001862135379011432
1424,-0.00015066347072746012
1425,-0.00013028089002098582
1426,-0.00012632975298731974
1427,-0.0001223786159536537
1428,-0.00011842747891998762
1429,-0.00011447634188632156
1430,-0.0001105252048526555
1431,-7.365629249309667e-05
1432,8.670500078395743e-06
1433,9.099729264988815e-05
1434,0.00017332408522138055
1435,0.00025565087779287296
1460,-0.0162551144517499
1461,-0.01876070701812609
1462,-0.014740898336261072
1463,-0.014624810977189264
1464,-0.014508723618117454
1465,-0.014392636259045645
1466,-0.014276548899973835
1467,-0.014160461540902024
1468,-0.013698076164758584
1469,-0.013188468331741685
1470,-0.012678860498724787
1471,-0.012169252665707888
1472,-0.011659644832690991
1473,-0.011150036999674092
1474,-0.010487107932188598
1475,-0.00979052298396608
1476,-0.009093938035743562
1477,-0.008397353087521044
1478,-0.007700768139298526
1479,-0.007004183191076008
1480,-0.0064647649881265255
1481,-0.005992703961722613
1482,-0.005520642935318703
1483,-0.005048581908914791
1484,-0.004576520882510881
1485,-0.00410445985610697
1486,-0.00378931546175836
1487,-0.0035624366729408194
1488,-0.003335557884123279
1489,-0.0031086790953057386
1490,-0.002881800306488198
1491,-0.0026549215176706574
1492,-0.002661168374466041
1493,-0.0028826081349041383
1494,-0.0031040478953422357
1495,-0.003325487655780333
1496,-0.003546927416218431
1497,-0.0037683671766565283
1498,-0.0037924441348411377
1499,-0.0035848343251627776
1500,-0.0033772245154844185
1501,-0.0031696147058060593
1502,-0.0029620048961276997
1503,-0.0027543950864493405
1504,-0.0026333108702680536
1505,-0.0026801881002868587
1506,-0.0027270653303056638
1507,-0.0027739425603244684
1508,-0.002820819790343274
1509,-0.0028676970203620786
1510,-0.002907596611937178
1511,-0.002929553704657033
1512,-0.0029515107973768877
1513,-0.002973467890096743
1514,-0.0029954249828165976
1515,-0.0030173820755364524
1516,-0.003017919981685035
1517,-0.002942517135444573
1518,-0.002867114289204112
1519,-0.0027917114429636507
1520,-0.0027163085967231893
1521,-0.002640905750482728
1522,-0.002570094925906721
1523,-0.002540612296310847
1524,-0.002511129666714973
1525,-0.0024816470371191
1526,-0.002452164407523226
1527,-0.0024226817779273518
1528,-0.0023914680071763054
1529,-0.0023187068487010684
1530,-0.0022459456902258314
1531,-0.0021731845317505944
1532,-0.0021004233732753574
1533,-0.002027662214800121
1534,-0.0019549010563248838
